Hybridization REF	TCGA-BA-5152-01	TCGA-BA-6869-01	TCGA-BA-A6DL-01	TCGA-BB-4227-01	TCGA-BB-7864-01	TCGA-CN-4725-01	TCGA-CN-4727-01	TCGA-CN-4730-01	TCGA-CN-4731-01	TCGA-CN-4736-01	TCGA-CN-4739-01	TCGA-CN-6988-01	TCGA-CN-A49C-01	TCGA-CN-A63W-01	TCGA-CN-A641-01	TCGA-CQ-5327-01	TCGA-CQ-6227-01	TCGA-CQ-7065-01	TCGA-CQ-7069-01	TCGA-CQ-A4C9-01	TCGA-CR-5247-01	TCGA-CR-6477-01	TCGA-CR-6480-01	TCGA-CR-7364-01	TCGA-CR-7365-01	TCGA-CR-7369-01	TCGA-CR-7385-01	TCGA-CV-6933-11	TCGA-CV-6934-11	TCGA-CV-6935-11	TCGA-CV-6936-11	TCGA-CV-6938-11	TCGA-CV-6939-11	TCGA-CV-6943-11	TCGA-CV-6952-01	TCGA-CV-6955-11	TCGA-CV-6956-01	TCGA-CV-6956-11	TCGA-CV-6959-11	TCGA-CV-6960-11	TCGA-CV-6961-11	TCGA-CV-6962-11	TCGA-CV-7089-01	TCGA-CV-7091-11	TCGA-CV-7095-01	TCGA-CV-7097-11	TCGA-CV-7101-11	TCGA-CV-7103-11	TCGA-CV-7177-11	TCGA-CV-7178-11	TCGA-CV-7183-11	TCGA-CV-7235-11	TCGA-CV-7238-11	TCGA-CV-7242-01	TCGA-CV-7242-11	TCGA-CV-7245-11	TCGA-CV-7250-01	TCGA-CV-7250-11	TCGA-CV-7252-11	TCGA-CV-7253-01	TCGA-CV-7255-01	TCGA-CV-7255-11	TCGA-CV-7261-11	TCGA-CV-7406-11	TCGA-CV-7409-01	TCGA-CV-7416-11	TCGA-CV-7423-11	TCGA-CV-7424-11	TCGA-CV-7425-11	TCGA-CV-7432-11	TCGA-CV-7434-11	TCGA-CV-7437-11	TCGA-CV-7438-11	TCGA-CV-7440-11	TCGA-CV-7568-01	TCGA-CV-A45R-01	TCGA-CX-7086-01	TCGA-D6-A6EO-01	TCGA-F7-7848-01	TCGA-H7-A6C4-01	TCGA-H7-A6C4-11	TCGA-H7-A6C5-11	TCGA-HD-7917-01	TCGA-HD-8224-01	TCGA-HD-8635-11	TCGA-HD-A6HZ-11	TCGA-HD-A6I0-11	TCGA-IQ-7632-01	TCGA-P3-A5QF-01	TCGA-P3-A6T8-01	TCGA-TN-A7HJ-01	TCGA-UF-A719-01	TCGA-UF-A71D-01	TCGA-WA-A7GZ-11
401944	185.1195	200.425	112.0222	119.7971	143.9537	141.0385	210.0426	145.5928	319.12	207.0758	220.3318	133.3175	165.5972	242.2396	155.9169	168.9871	324.8696	151.2466	280.8628	147.1634	246.8065	289.3104	245.1451	165.1548	155.7283	195.9455	129.8582	314.4964	116.6473	108.0583	220.5071	240.1347	356.7736	42.6367	126.4955	232.7202	149.4243	132.5399	133.5922	113.5218	94.2365	141.9549	138.5131	282.5296	172.1319	212.5902	170.8085	139.9633	90.0926	274.3025	29.5252	171.3854	238.2987	153.509	87.8996	359.2648	127.3789	40.1302	79.9851	257.7034	163.1019	127.6144	76.5784	86.6986	64.7085	114.8234	93.5109	103.2648	56.9412	155.4701	277.9731	61.7073	101.4982	83.5631	127.3869	285.6112	133.4401	138.5987	149.32	267.0679	164.2037	220.7004	100.9133	199.5216	51.7817	1147.721	3003.2203	181.8182	160.0886	594.2934	271.1917	215.0237	73.817	155.0706
26119	479.2738	996.322	661.9312	1054.0641	596.8231	1685.2151	1513.3237	1387.0968	673.9231	1126.8534	1577.9296	730.1587	1090.7435	981.4739	893.9145	812.6877	1307.6984	1636.9863	1197.6788	608.9414	966.4394	1791.4283	1441.2929	1244.2501	994.717	1056.6361	762.4253	2389.0806	1851.8384	951.4563	773.8095	799.9208	592.3677	712.8258	1384.2778	1216.319	1845.4216	684.1565	773.5054	1143.2418	876.987	1069.3222	1341.0101	446.8085	1320.8557	871.0191	1452.9981	1139.5776	911.0764	1189.5062	665.2644	892.7897	724.9879	1261.0697	853.6939	586.4711	462.0239	654.038	1004.9579	484.5711	1606.3293	1607.7278	871.5104	420.8451	1226.3669	699.7056	1294.8937	1364.5514	1443.4783	1414.0332	1376.9634	1226.1847	1216.7577	1381.6645	509.2994	1161.6939	1020.7499	1700.2532	1662.4919	1130.6667	585.9155	1687.4608	827.0202	1025.9894	811.9658	972.6027	1185.6703	1170.3176	929.1375	1529.3008	953.3542	1002.7137	661.6719	650.8344
10637	1.2103	7.8382	0.444	2.8405	2.2037	4.1863	1.9186	8.4876	8.3372	1.6474	2.3987	1.3079	2.9466	3.4706	5.588	0	1.6594	1.9269	0.8713	62.1583	4.7195	2.4089	0	1.6522	0.3774	0	0.895	19.454	5.1584	2.9042	1.7637	2.7734	22.6366	0	1.7058	1.2332	9.0345	2.2278	1.1821	0	4.5984	0	6.0848	12.6635	9.6751	117.3195	0.3868	0	1.2189	31.4815	0	14.345	5.3166	3.4976	0.7726	6.0079	0	5.3601	0	0.8744	4.2286	7.9798	2.9885	2.9408	12.0741	1.9578	0.645	2.1751	0	9.0893	139.0912	0	1.2067	0.4324	5.651	0.6015	1.9731	6.0625	0	1.5238	6.9339	4.5186	0	9.1199	0.8613	8.0573	1.5408	0	3.3287	0.5389	1.7669	0.8853	0.97	6.7715
93273	427.8366	107.8872	57.2697	188.049	28.6475	180.8476	92.0945	3.7704	19.9166	8.6491	28.3864	10.4762	205.3968	39.5224	22.6151	11.0537	6.063	20.0913	22.107	419.3217	171.4735	28.104	13.1926	6.3873	23.0189	61.3486	4.0991	8.1581	49.5086	5.4875	7.9365	0.3962	4.3365	11.7527	14.0731	9.4543	35.3581	0.5863	39.0102	19.9246	50.009	27.0714	129.697	0.788	53.6335	32.9087	18.5687	16.0698	35.7774	58.642	5.4087	59.6451	24.6496	12.5743	14.6789	3.0969	13.9734	3.79	8.9241	21.782	87.0277	8.8198	5.3686	38.3099	17.0645	14.2296	12.216	7.8775	1.5345	22.5068	40.7629	10.7945	20.9472	28.2835	2.7898	42.8296	4.0044	198.9103	7.7929	67.0476	50.2709	99.4101	106.4815	7.6787	0	57.2852	1.5408	33.954	19.1142	18.8603	37.5804	105.156	33.123	5.1348
3953	224.3116	177.6747	151.707	116.9269	64.3137	265.8104	236.9851	92.6854	396.9384	786.1491	408.9914	97.6603	113.5557	86.8341	230.5715	183.4339	524.8568	170.3516	235.459	151.408	636.9691	823.9004	241.5732	301.9116	109.4792	279.0438	95.0845	280.0941	376.8766	1081.5112	1114.8369	364.477	1556.8517	315.8917	292.0332	814.535	820.1995	194.4247	432.836	385.7243	170.2989	1002.5099	280.9535	2391.6785	285.288	1492.3567	207.8994	356.8411	345.5143	256.9444	794.7957	543.4315	1410.4737	303.302	864.9155	6052.0721	159.689	546.7444	605.9445	338.0601	842.0734	255.0903	627.3372	304.8338	175.4228	80.6968	90.8869	742.9234	226.6803	168.0176	481.3762	53.065	154.0209	113.9337	139.8853	115.2791	157.2151	60.2195	376.2612	91.3168	534.8819	379.7515	105.3746	763.8157	217.9356	529.9128	159.7304	146.4786	47.3427	256.4947	183.6229	251.462	79.3691	593.3569
64175	553.7065	434.8181	411.5427	642.3358	390.7814	989.3238	520.4299	435.2744	1048.6336	981.4662	404.5063	231.746	627.576	724.1663	282.0724	439.7453	1651.6953	1345.2055	1752.3042	702.9805	2231.2533	5122.9549	298.153	609.7762	944.1509	605.2609	398.9752	319.4227	248.6349	228.3664	356.261	643.8193	351.2576	149.208	1119.4483	331.7234	524.0254	186.4283	216.3293	192.7841	220.1616	204.5828	698.1818	319.937	1162.5843	608.811	179.4971	304.8669	260.0104	380.2469	132.8125	494.1487	228.6129	458.631	219.0246	795.5103	399.3689	147.2668	163.1135	507.3001	1152.3667	270.8946	193.6292	153.8028	553.6474	165.8489	256.0469	234.5733	373.913	445.8078	608.8257	181.1448	270.9472	248.0494	1256.9746	1136.6699	425.1911	552.5286	716.5785	898.0317	183.7486	410.192	520.202	364.4418	145.2991	476.9614	1931.433	407.9956	261.5385	2806.4125	612.4938	422.6594	276.0252	208.6008
3964	705.5976	883.5145	743.1077	1732.9853	568.5061	1231.6273	635.0444	576.439	992.5892	824.5428	1187.95	638.5587	724.9505	820.0741	841.6859	675.7131	619.057	1018.2466	587.1357	745.6012	458.259	749.5734	1424.0864	1247.6013	650.9396	1092.2697	1054.012	667.6749	1202.7448	875.0443	746.4638	1287.2187	428.4042	900.3526	1071.6767	1252.4715	877.1487	793.1995	737.2535	645.6489	663.534	1122.6762	547.0707	475.9653	857.0839	712.845	1509.4739	774.5638	973.4789	1020.9198	1118.3834	1011.6648	588.1924	805.0562	1189.7595	615.8914	1182.6865	796.432	855.2305	843.4978	811.0681	1288.509	1134.5455	507.0423	1150.794	599.6075	636.6968	1523.3698	862.8645	991.1304	848.8631	1096.6341	791.8944	1523.6801	1072.8456	893.1424	927.885	586.2912	670.9342	815.233	393.4995	1207.4206	692.3401	1363.8275	932.9323	474.3462	498.4592	709.1402	711.4219	637.9577	1157.0793	1720.2646	939.9763	848.5045
59352	20.2723	75.6028	3.9956	18.8049	97.6953	35.9107	0.9593	20.5279	252.4317	16.4745	16.677	6.6667	6.8314	74.5163	235.6086	5.7672	107.2198	238.8128	74.1234	19.0134	5.7682	46.1708	7.9156	147.76	152.4528	21.9347	14.3467	547.8506	464.5067	76.8257	33.5097	374.0095	65.0477	424.1185	116.8491	209.6393	315.5032	122.5267	576.0901	28.5407	272.61	359.2768	42.0202	91.4106	30.4975	444.7983	192.2631	940.7713	442.6417	441.9753	98.5577	483.5787	501.2083	118.4631	281.2168	99.1001	2.2538	47.6452	627.6648	1.5784	963.8521	86.0983	191.1238	36.0563	539.6166	100.5888	118.7393	176.3676	71.0997	381.3172	1449.8878	164.953	219.0346	221.3914	16.119	32.7238	76.083	1564.5768	116.894	73.6508	510.5092	383.0802	9.2593	3.544	232.7416	626.401	43.9137	102.4096	4.662	94.8404	54.7223	364.9932	19.7161	70.6033
1939	649.0166	697.5889	399.556	2175.9248	697.4566	1056.2925	1012.5599	1377.0423	1159.7962	822.8995	923.9776	704.4444	852.1006	896.6653	1230.6743	1365.3731	714.7986	1086.758	535.1192	954.2652	1144.7299	726.2873	750	1087.5478	768.6792	591.209	853.2878	2601.8199	1086.2759	1110.1731	1014.1093	1299.1284	1159.5837	1073.582	714.3147	810.1942	1736.6274	1226.44	983.9241	1189.553	1050.1889	1102.1947	856.1616	1070.134	1016.9327	1250	1212.766	1275.023	806.2402	2077.1605	1621.3942	1681.3892	1072.0155	825.6019	1104.394	1036.6796	1450.9804	1137.528	1101.6361	1218.5305	886.9186	1181.8564	1029.7065	1160.5634	863.4624	1200.6869	1486.4403	940.4814	1085.422	2000.5086	1215.4076	1132.0704	1045.082	993.498	675.1395	957.6516	530.3968	658.4299	1585.3048	746.1587	918.7432	1346.5545	1023.9899	780.2717	1004.6022	981.32	560.8629	860.3505	1013.5198	565.2701	1120.8175	523.4057	958.9905	1127.7279
56956	5.7489	2.0433	131.4095	0	299.3297	118.0848	6.2356	177.6288	96.8041	6.5898	0.3548	60.6349	4.0988	42.4043	92.5164	23.5492	0.9573	1.3699	0	9.2497	1.0488	1.6059	0	8.5164	3.7736	5.4837	0	1.2551	0	0.8442	0.4409	0.7924	0	1.022	1.7058	4.9327	24.932	0	0	0.5385	1.8296	0	0.404	0	7.3615	0	0	0	0.416	0.6173	0	0	0.4833	19.1923	2.3177	0	0	0	0	65.9774	8.1844	0	0	0.5634	122.485	0.4907	0	0	9.2072	0	0	1.6866	0.4554	0.6502	13.3292	0.9625	14.5613	0.6139	2.2266	0	0	0	9.6801	0	0.6575	0	2.3112	26.8346	45.2214	0.5389	2.6372	0.6784	45.7413	0
